Type, Threads, Time, Evaluations
nodis, 8, 19.679426, 192121
nodis, 8, 18.516481, 174429
nodis, 4, 95.637066, 505368
nodis, 2, 513.706345, 1580214
nodis, 6, 23.697232, 174185
nodis, 2, 737.044888, 2708409
nodis, 6, 18.190137, 130739
nodis, 8, 17.296877, 191473
nodis, 2, 932.965386, 3190784
nodis, 2, 125.519715, 444859
nodis, 4, 75.464872, 351663
nodis, 4, 55.476624, 256983
nodis, 8, 16.860666, 191431
nodis, 2, 129.71552, 478867
nodis, 4, 53.445248, 282654
nodis, 4, 63.662206, 289434
nodis, 6, 26.352633, 212799
nodis, 6, 50.367219, 367850
nodis, 2, 75.747625, 278483
nodis, 4, 96.78106, 451743
nodis, 4, 201.204401, 894306
nodis, 4, 84.777124, 394940
nodis, 2, 129.195679, 491867
nodis, 6, 51.463681, 351794
nodis, 4, 27.37404, 191280
nodis, 6, 26.830652, 183038
nodis, 6, 19.813956, 144804
nodis, 4, 57.391773, 271007
nodis, 8, 17.948108, 168857
nodis, 8, 15.516087, 131318
nodis, 6, 21.458326, 157500
nodis, 6, 24.906091, 184853
nodis, 6, 25.420701, 172789
nodis, 2, 742.531966, 2754538
nodis, 8, 10.442262, 96140
nodis, 2, 102.045636, 376551
nodis, 8, 19.108207, 191997
nodis, 4, 40.652022, 181455
nodis, 4, 43.659067, 309479
nodis, 6, 22.555569, 151394
nodis, 8, 17.692304, 174969
nodis, 8, 17.852294, 168892
nodis, 2, 379.582246, 1394031
nodis, 6, 18.715389, 150523
nodis, 2, 441.333422, 1610398
nodis, 6, 20.594275, 193790
nodis, 8, 23.084665, 206289
nodis, 4, 51.051034, 228580
nodis, 6, 36.22437, 260623
nodis, 2, 542.384079, 1937177
nodis, 8, 14.943774, 139638
nodis, 4, 38.604308, 181974
nodis, 8, 15.538495, 139882
nodis, 2, 322.52004, 1232272
nodis, 8, 21.688001, 188877
nodis, 2, 366.307848, 1387976
nodis, 8, 15.286006, 130139
